#,Name,Yr,Pos,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k/9,hr,whip,bf,wp,hbp,team
11,"RJ
                                                                        Anglin",So,RHP/OF,6.29,8,4,14,12,0,68.2,74,56,48,47,79,10.35,11,1.76,325,3,8,Huntington (IN)
33,"Keegan
                                                                        Shovlain",Jr,,7.12,2,3,16,5,1,36.2,42,35,29,17,30,7.36,1,1.61,174,3,8,Huntington (IN)
9,"Mason
                                                                        Meyer",Gr,,7.33,2,1,15,1,5,23.1,18,21,19,26,33,12.73,1,1.89,115,2,4,Huntington (IN)
13,"Jack
                                                                        Will",So,RHP,1.93,3,0,17,0,3,23.1,13,7,5,13,27,10.41,2,1.11,99,2,4,Spring Arbor (MI)
29,"Kyler
                                                                        Hinken",So,RHP,4.95,3,6,13,13,0,67.1,70,44,37,25,56,7.49,6,1.41,299,6,6,Spring Arbor (MI)
36,"Colin
                                                                        Snyder",Jr,RHP,5.11,4,4,21,0,4,37.0,34,25,21,21,33,8.03,6,1.49,174,9,9,Spring Arbor (MI)
15,"Trammell
                                                                        Lindstrom",Sr,RHP,5.34,6,2,12,12,0,57.1,68,35,34,23,64,10.05,5,1.59,263,11,6,Spring Arbor (MI)
45,"Josh
                                                                        Murphy",Sr,LHP,5.79,5,2,18,9,0,46.2,42,37,30,33,58,11.19,3,1.61,219,6,1,Spring Arbor (MI)
27,"John
                                                                        Hojnowski",So,RHP,6.81,4,6,13,12,0,75.1,80,64,57,21,63,7.53,11,1.34,339,5,8,Spring Arbor (MI)
32,"Brady
                                                                        Mitchell",Fr,LHP,7.89,2,0,10,2,0,21.2,26,21,19,18,30,12.46,2,2.03,110,6,5,Spring Arbor (MI)
17,"Lukas
                                                                        North",Sr.,P,4.57,7,1,13,13,0,80.2,72,45,41,45,71,7.92,11,1.45,362,8,11,Saint Francis (IN)
7,"Blaine
                                                                        McRae",RS Sr.,P,4.80,5,4,14,12,0,75.0,62,57,40,38,84,10.08,5,1.33,342,4,13,Saint Francis (IN)
31,"Andrew
                                                                        Kent",Sr.,P,5.30,0,2,15,0,1,18.2,19,14,11,17,23,11.09,2,1.93,92,2,5,Saint Francis (IN)
33,"Gage
                                                                        Smith",Sr.,P,5.43,5,4,13,13,0,63.0,74,48,38,41,57,8.14,7,1.83,307,4,9,Saint Francis (IN)
12,"Gavin
                                                                        Noble",Sr.,INF | P,5.48,1,1,12,0,0,21.1,19,14,13,11,19,8.02,3,1.41,95,3,2,Saint Francis (IN)
21,"Perry
                                                                        Stow",RS So.,P,6.45,4,6,14,8,0,44.2,44,38,32,27,38,7.66,4,1.59,209,8,6,Saint Francis (IN)
11,"James
                                                                        Paden",Fr,P,1.65,1,1,3,1,0,16.1,16,6,3,5,15,8.27,1,1.29,71,-,1,Bethel (IN)
23,"Adam
                                                                        Walters",Jr,P/OF,5.47,4,5,10,9,1,52.2,59,48,32,24,34,5.81,5,1.58,252,4,8,Bethel (IN)
5,"Andrew
                                                                        Gerber",Sr,P,5.77,0,4,8,8,0,34.1,41,24,22,14,16,4.19,2,1.60,161,-,3,Bethel (IN)
16,"Peter
                                                                        Wallsmith",So,P,5.77,2,1,13,0,0,39.0,50,28,25,12,33,7.62,3,1.59,190,3,11,Bethel (IN)
19,"Weston
                                                                        Harvey",Fr,P,6.71,4,5,10,8,1,52.1,70,50,39,25,76,13.07,4,1.82,256,8,6,Bethel (IN)
